Gene_Symbol,disease_association,essential_gene,loss_of_function_tolerance,loss_of_function_constraint,observed_expected_lof_ratio,rvis_score,gwas_associations,protein_protein_interactions,chemical_gene_interactions,drug_interaction_types,known_antibodies,antibody,antibody_availability,small_molecule,tractable_modalities,overall_therapeutic_potential,functional_characterization,protein_domains,protein_length,expression_tissue_specificity,expression_specificity,expression_broadly_expressed,alternative_splicing
LDHB,,,,,,,,,,,,0.9,,0.6,,,,,,,,,
LDHC,,,0.0,,0.81,,0.1,,0.8,,0.9,,,,0.6,,,0.7,0.5,1.0,,,
LDHD,,,0.0,,0.85,,0.8,0.5,0.6,,0.9,,,,0.7,,0.9,,0.5,0.8,,,
LDLR,,,,,,,,,,,,,,,,,,,,,,,
LDLRAD1,,,0.0,,0.76,,,,0.8,,0.9,,,,0.85,0.7,,,0.5,,,,
LDLRAD2,,,0.0,,0.57,,,,0.8,,0.88,,,,0.5,0.65,,,0.68,,,,
LDLRAD3,,,0.8,,0.6,0.7,,,0.7,,0.9,,,,0.85,,,,0.5,0.9,,,
LDLRAD4,,,,0.66,0.17,,0.5,0.7,0.6,,0.8,,,,0.8,,,,0.5,0.7,,,
LDLRAP1,,,0.0,,0.67,,0.9,0.6,0.85,,0.9,,,,0.7,,,,,,,,
LDOC1,,,,0.55,0.0,,,,0.75,,0.95,,,,,,,,0.73,,,,
LEAP2,,,0.0,,0.5,,,0.5,0.6,,0.8,,,,0.9,,,,0.3,1.0,,,
LECT2,,,0.0,,0.68,,,,0.6,,0.9,,,,0.8,,,,0.5,1.0,,,
LEF1,,1.0,,1.0,0.04,,0.8,0.6,0.85,,0.9,,,,,,,,,0.88,,,
LEFTY1,,1.0,0.0,,0.5,,,0.5,0.6,,0.8,,,,0.8,,,0.9,0.7,0.95,,,
LEFTY2,,1.0,0.0,,,,,0.2,0.8,,,,0.9,,0.8,,,,0.5,,,,
LEKR1,,,,,,,,,,,,,,,,,,,,,,,
LELP1,,,,,,0.67,,,,,,,,,,,,,,,,,
LEMD1,,,0.0,,0.83,,,,0.7,,0.8,,,,0.8,0.7,,,0.5,,,,
LEMD2,,,,0.72,0.18,,0.6,,0.75,,0.9,,,,0.7,0.65,,,0.5,,,0.6,
LEMD3,,,,,,,,,,,,0.8,,0.7,,,,,,,,,
LENEP,,,0.0,,0.5,,,,0.6,,0.8,,,,,0.6,,,0.2,0.9,,,
LENG1,,,0.0,,0.7,0.8,,0.5,0.7,,0.9,,,,0.8,0.6,,,0.6,,,0.5,
LENG8,,,,1.0,0.89,,,,0.6,,0.7,,,,0.8,0.8,,,0.8,,,,
LENG9,,,1.0,,1.0,,,,0.8,,,,,,,,,,0.5,,,0.9,
LEO1,,,,0.87,0.19,,,0.1,0.85,,0.93,,,,0.5,,,,0.75,,,0.6,
LEP,0.9,,0.4,,,,,,,,,,0.9,,,,,,,,0.97,,
LEPR,,,,1.0,0.84,,0.95,,0.75,,0.85,,,,,,,,0.9,0.86,,,
LEPROT,,,0.45,,0.18,,,,0.67,,,,0.83,,0.8,0.65,,,0.65,,,,
LEPROTL1,,,,0.71,0.0,,,,0.8,,0.9,,,,0.9,,,,0.5,,,0.49,
LETM1,0.9,,0.0,,0.49,,,,0.8,,0.9,,,,0.7,0.75,0.85,,0.7,,,,
LETM2,,,0.0,,0.5,,,,0.6,,0.8,,,,0.7,,,,0.7,,,,
LETMD1,,,0.2,,,,,0.5,,,,,,,,,,,,,,0.7,0.4
LEUTX,,,0.0,,,,,,,,,,0.7,,,,,,0.5,,,,
LFNG,,,0.1,,0.31,,,,0.8,,,,,,0.8,,,,,0.77,,,
LGALS1,,,0.0,,0.78,,,,0.75,,0.9,,,,0.8,,,,0.5,,,,
LGALS12,,,0.0,,0.5,,,0.5,0.6,,0.7,,,,0.5,,0.8,,0.6,,,,
LGALS13,,,0.0,,0.74,,,0.5,0.4,,0.9,,,,,,,,0.5,,,,
LGALS14,,,0.0,,0.78,,0.1,,0.6,,0.8,,,,,0.7,,,0.5,1.0,,,
LGALS16,,,1.0,,0.0,,,,0.8,,,,,,,0.85,,,0.5,,,,
LGALS2,,,0.8,,,,0.6,,0.7,,0.9,,,,0.8,0.7,,,,0.9,,,
LGALS3,,,0.0,,0.8,,0.4,0.7,0.8,,0.9,,,,,,,0.6,0.5,0.8,,,
LGALS3BP,,,,,,,,,,,,1.0,,,,,,,,,,,
LGALS4,,,,,,,,,,,,0.9,,0.6,,,,,,,,,
LGALS7B,,,,,,,,,,,,0.8,,0.6,,,,,,,,,
LGALS8,,,,,,,,,,,,0.9,,0.6,,,,,,,,,
LGALS9,0.75,,0.0,,,,0.8,0.85,0.7,,,,0.9,,,,0.9,,,,0.94,,
LGALS9B,,,1.0,,1.0,,,,0.7,,0.9,,,,0.9,,0.8,,0.8,,,,
LGALS9C,,,0.0,,0.94,,,0.7,0.8,,0.9,,,,0.7,,,,0.5,0.95,,,
LGALSL,,,0.8,,0.6,,,,0.7,,0.9,,,,0.8,,,,0.5,,,,
LGI1,,,,,,,,,,,,0.9,,,,,,,,,,,
LGI2,,,0.0,,0.52,,0.4,0.2,0.6,,0.8,,,,0.6,,,0.7,0.5,,,,
LGI3,,,0.0,,0.48,,,,0.7,,0.8,,,,0.9,0.75,,,0.6,0.88,,,
LGI4,0.8,1.0,0.01,,0.36,,,,0.7,,,,0.9,,0.8,,,,,,0.94,,
LGMN,,,0.0,,0.39,,,0.4,0.6,0.1,0.8,,,,,,,,0.5,0.8,,,
LGR4,,,,,,,,,,,,0.8,,0.6,,,,,,,,,
LGR5,,1.0,0.0,,,,0.1,0.6,0.7,0.8,0.9,,,,0.9,,,,,0.95,,,
LGR6,,,0.0,,,,0.8,0.6,,,,,0.9,,0.75,,0.85,,,,0.97,,0.5
LGSN,,,0.0,,0.5,0.8,,,0.7,,0.9,,,,0.8,,0.4,,0.6,,,,
LHB,,,0.0,,0.98,,0.8,0.4,0.6,,0.7,,,,,,,,0.5,1.0,,,
LHCGR,,,0.0,,0.57,,0.8,,0.75,0.9,0.85,,,,0.8,,,0.9,0.7,0.99,,,
LHFPL1,0.6,,0.14,,0.35,0.68,,,0.5,,0.69,,,,,0.6,,,0.5,,,,
LHFPL2,,,0.06,,0.39,,0.6,0.7,0.8,,0.9,,,,0.75,,,,0.57,0.73,,,
LHFPL3,,,,0.9,0.0,,,,0.6,,0.8,,,,0.8,,,,0.7,,,,
LHFPL4,,,,0.6,0.14,,,0.4,0.7,,0.22,,,,0.5,,,,0.247,0.92,,,
LHFPL5,0.8,,0.0,,0.72,,,,0.6,,,,0.9,,0.7,,0.85,,0.5,,0.94,,
LHFPL6,,,0.0,,0.0,,,,0.7,,0.8,,,,0.9,,,,0.5,,,,0.5
LHPP,,,0.0,,0.93,,0.8,0.4,0.67,,0.79,,,,0.6,,,,0.54,0.94,,,
LHX1,,1.0,0.45,,0.21,,,,0.6,,0.9,,,,,,,,0.75,,,0.0,
LHX2,,1.0,,1.0,0.0,,0.8,,0.6,,0.7,,,,,0.82,,0.9,0.5,0.93,,,
LHX3,,,0.01,,0.4,,0.75,,0.6,,0.9,,,,,,,,,,1.0,,
LHX4,0.8,,0.02,,0.35,,,0.7,0.6,,,,0.9,,,,,,,,,,
LHX5,,,,0.94,0.07,,,,,,,,,,,,,,,0.99,,,
LHX6,,1.0,,1.0,0.05,,,0.6,0.7,,0.9,,,,,,,,0.6,0.84,,,
LHX8,,1.0,,0.55,0.2,,,,0.6,,0.8,,,,,,,,0.75,0.95,,,
LHX9,,,,0.98,0.06,,,0.6,0.8,,,,0.93,,,,,,0.79,,,,
LIAS,,1.0,0.0,,0.51,,,,0.8,,0.9,,,,0.5,,,,,,,0.6,
LIF,,,,,,,,,,,,1.0,,0.8,,,,,,,,,
LIFR,0.8,1.0,0.0,,0.51,,,,0.85,,0.9,,,,0.75,,,,0.6,0.85,,,
LIG1,,,,,,,,,,,,,,,,,,,,,,,
LIG3,,1.0,0.0,,0.45,0.75,0.8,0.7,0.85,,0.9,,,,0.9,,,,,0.66,,,
LIG4,,,,,,,,,,,,,,0.7,,,,,,,,,
LILRA1,,,0.0,,0.5,,0.3,,0.6,,0.8,,,,0.8,0.7,,0.8,0.7,1.0,,,
LILRA2,,,,,,,,,,,,0.9,,0.6,,,,,,,,,
LILRA3,,,0.0,,0.67,,,0.5,0.8,,,,,,,,,,0.7,,,0.0,0.5
LILRA4,,,0.0,,0.5,,0.7,,0.8,,0.9,,,,0.75,,,,0.6,,0.95,,
LILRA5,,,0.0,,,,0.8,,,,,,0.9,,0.8,,,,,,,,0.6
LILRA6,,,0.0,,,,0.5,,,,,,0.76,,0.7,0.7,,0.8,,,0.99,,
LILRB1,0.75,,0.0,,,,0.8,,0.9,,,,,,,,,,,,0.97,,
LILRB2,,,,,,,,,,,,0.8,,0.6,,,,,,,,,
LILRB3,,,0.0,,0.46,,,0.6,0.7,,0.9,,,,0.75,,,,0.8,1.0,,,
LILRB4,,,0.0,,0.88,,,0.6,0.7,,0.9,,,,0.8,,,,0.8,,,,
LILRB5,,,0.0,,0.5,,0.8,,0.6,,0.9,,,,0.7,,,0.8,0.7,0.99,,,
LIM2,0.8,,0.0,,,,,,,,,,0.9,,0.6,,0.85,,,,0.99,,
LIMA1,0.5,,0.0,,0.53,,,,0.7,,0.9,,,,0.7,,0.8,,0.6,0.77,,,
LIMCH1,,,,0.94,0.19,,,0.1,0.87,,0.92,,,,0.8,0.75,,,0.5,0.77,,,
LIMD1,,,,,,,,,,,,0.8,,,,,,,,,,,
LIMD2,,,,,,,,,,,,0.85,,0.75,,,,,,,,,
LIME1,,,0.9,,,,,0.5,,,,,0.8,,0.8,0.75,,,,0.84,,,
LIMK1,,,,1.0,0.9,,,0.5,0.8,0.7,0.9,,,,,,,,0.8,0.86,,,
LIMK2,,,0.01,,0.31,,,0.6,0.75,0.5,0.8,,,,0.7,0.7,,0.9,0.64,0.72,,,
LIMS1,,1.0,0.0,,0.43,,,0.7,0.9,,0.8,,,,0.6,,,,0.5,,,,
LIMS2,0.8,,0.0,,,,,,,,,,0.9,,0.6,,0.7,,,,0.9,,
LIMS3,,,1.0,,1.0,,,,0.7,,0.9,,,,,,,,0.8,1.0,,,
LIN28A,,0.9,0.8,,,,,,,,,,0.9,,,,,,0.6,,1.0,,
LIN28B,,,,0.55,0.18,,0.82,,0.73,,0.95,,,,,0.78,,,0.25,1.0,,,
LIN37,,,0.9,,0.4,,,0.6,0.7,,0.8,,,,,0.65,,,0.5,,,0.7,
LIN52,,,,0.9,0.0,,,,0.6,,0.7,,,,,,,,0.5,,,0.6,
LIN54,,,,1.0,0.95,,0.6,,0.85,,0.9,,,,0.7,,,,0.7,,,0.5,
LIN7A,,,0.0,,0.86,,,0.6,0.8,,0.9,,,,0.7,0.75,,,0.5,,,,
LIN7B,,,,0.86,0.09,,,0.65,0.67,,0.78,,,,0.9,0.76,,,0.5,,,,
LIN7C,,,0.04,,0.37,,0.8,0.7,0.75,,0.9,,,,0.8,,,,0.5,,,0.55,
LIN9,,1.0,,1.0,0.89,,,0.7,0.8,,0.9,,,,0.6,,,,0.5,,,,0.5
LINC00052,,,0.0,,0.0,,,,0.8,,,,,,,,,,0.5,,,,
LINC00114,,,1.0,,1.0,,,,0.8,,,,,,,,,0.7,0.5,,,,
LINC00158,,,,,,,,,,,,,,,,,,,,,,,
LINC00173,,,0.0,,0.0,,,,0.5,,,,,,,0.2,,,0.1,,,0.4,
LINC00205,,,0.0,,0.0,,,,0.5,,,,,,,0.2,,0.7,0.5,,,0.3,
LINC00208,0.3,,0.0,,0.0,,,,,,,,,,,,,0.5,0.1,,,0.2,
LINC00242,,,0.0,,0.0,,,,0.6,,,,,,,0.25,,0.4,0.5,,,0.3,
LINC00269,,,0.0,,0.0,,,,0.5,,,,,,,,,,0.5,,,0.2,
LINC00299,,,0.0,,0.0,,,,0.5,,,,,,,,,,0.0,,,0.2,
LINC00301,,,0.0,,0.0,,,,0.6,,,,,,,,,0.5,0.1,,,0.4,
LINC00303,,,0.0,,0.0,,,,0.5,,,,,,,0.2,,0.4,0.2,,,0.3,
LINC00304,,,0.0,,0.0,,,,0.7,,,,,,,0.3,,0.6,0.5,,,0.4,
LINC00305,,,1.0,,1.0,,,,0.8,,,,,,,,,0.7,0.5,,,0.6,
LINC00308,,,,,,,,,,,,,,,,,,,,,,,
LINC00310,,,0.0,,0.0,,,,0.5,,,,,,,,,,0.0,,,1.0,
LINC00311,,,0.0,,0.0,,,,0.5,,,,,,,0.1,,,0.0,,,0.2,
LINC00312,,,1.0,,,,,,0.6,,,,,,,,,,,,,,
LINC00313,,,0.0,,0.0,,,,0.5,,,,,,,,,,0.0,,,1.0,
LINC00315,,,0.0,,0.0,,,,0.5,,,,,,,,,,0.0,,,,
LINC00322,,,0.0,,0.0,,,,0.6,,,,,,,0.3,,0.7,0.5,,,0.2,
LINC00336,,,0.0,,0.0,,,,0.7,,,,,,,0.3,,0.6,0.5,,,0.4,
LINC00467,,,,,,,,,,,,,,,,,,,,,,,
LINC00469,,,0.0,,0.0,,,,0.4,,,,,,,0.3,,,0.1,,,0.3,
LINC00470,,,0.0,,0.0,,,,0.5,,,,,,,0.3,,,0.1,,,0.2,
LINC00471,0.2,,0.0,,0.0,,,,0.5,,,,,,,0.2,,,0.0,,,0.0,
LINC00472,,,0.0,,0.0,,,,0.7,,,,,,,,,,0.5,,,0.3,
LINC00473,,,0.0,,0.0,,,,0.8,,,,,,0.9,0.4,,,0.5,,,0.2,
LINC00474,,,0.0,,0.0,,,,0.5,,,,,,,0.2,,,0.0,,,0.2,
LINC00477,,,0.0,,0.0,,,,0.7,,,,,,,,,,0.5,,,0.6,
LINC00479,,,0.0,,0.0,,,,0.7,,,,,,,0.2,,,0.0,,,0.5,
LINC00482,,,1.0,,1.0,,,,0.7,,,,,,,,,0.6,0.5,,,0.8,
LINC00518,,,0.0,,0.0,,,,0.6,,,,,,,,,0.4,0.5,,,0.7,
LINC00523,,,0.0,,0.0,,,,0.5,,,,,,,0.2,,0.4,0.1,,,0.3,
LINC00526,,,0.0,,0.0,,,,0.5,,,,,,,0.2,,,0.1,,,0.2,
LINC00528,,,0.9,,0.1,,,,0.6,,,,,,,0.3,,0.7,0.5,,,0.4,
LINC00574,,,0.0,,0.0,,,,0.8,,,,,,,,,0.5,0.0,,,0.2,
LINC00575,,,0.0,,0.0,,,,0.5,,,,,,,,,,0.1,,,,
LINC00587,,,0.0,,0.0,,,,0.5,,,,,,,,,0.6,0.1,,,0.4,
LINC00588,,,0.0,,0.0,,,,0.5,,,,,,,0.1,,0.3,0.1,,,0.2,
LINC00596,,,1.0,,1.0,,,,0.8,,,,,,,,,0.7,0.5,,,0.6,
LINC00597,,,0.0,,0.0,,,,0.5,,,,,,,,,0.6,0.1,,,0.2,
LINC00612,,,0.0,,0.0,,,,0.5,,,,,,,0.2,,0.6,0.2,,,0.3,
LINC00614,0.1,,0.0,,0.0,,,,,,,,,,,,,,0.0,,,1.0,
LINC00615,,,0.0,,0.0,,,,,,,,,,,,,0.5,0.1,,,0.2,
LINC00696,,,0.0,,0.0,,,,0.5,,,,,,,0.2,,,0.0,,,0.5,
LINC00862,,,0.0,,0.0,,,,0.5,,,,,,,,,,0.1,,,0.3,
LINC00869,,,1.0,,1.0,,,,0.8,,,,,,,,,,0.5,,,0.9,
LINC01356,,,0.0,,0.0,,,,0.6,,,,,,,0.3,,0.7,0.5,,,0.2,
LINC01387,,,0.0,,0.0,,,,0.5,,,,,,,0.2,,,0.0,,,0.5,
LINC01465,,,0.0,,0.0,,,,0.5,,,,,,,0.1,,,0.0,,,0.2,
LINC01545,0.3,,0.0,,0.0,,,,,,,,,,,,,,0.0,,,0.0,
LINC01546,,,0.0,,0.0,,,,,,,,,,,0.2,,,0.1,,,0.2,
LINC01547,,,0.0,,0.0,,,,0.7,,,,,,,,,,0.5,,,0.0,
LINC01548,,,0.0,,0.0,,,,0.5,,,,,,,0.1,,0.3,0.1,,,0.2,
LINC01549,,,0.0,,0.0,,,,0.5,,,,,,,0.1,,0.3,0.1,,,0.2,
LINC01551,,,0.0,,0.0,,,,0.5,,,,,,,0.1,,,0.0,,,0.2,
LINC01553,,,0.0,,0.0,,,,0.5,,,,,,,0.2,,,0.0,,,0.5,
LINC01554,,,0.0,,0.0,,,,0.5,,,,,,,,,,0.1,,,,
LINC01555,,,0.0,,0.0,,,,0.5,,,,,,,0.2,,,0.0,,,0.5,
LINC01556,,,0.0,,0.0,,,,0.5,,,,,,,0.1,,,0.1,,,,
LINC01558,,,0.0,,0.0,,,,0.6,,,,,,,,,0.5,0.1,,,0.4,
LINC01559,,,0.0,,0.0,,,,0.6,,,,,,,0.4,,0.7,0.5,,,0.4,
LINC01560,,,0.0,,0.0,,,,0.5,,,,,,,0.3,,0.7,0.1,,,0.2,
LINC01561,,,0.0,,0.0,,,0.4,0.6,,,,,,,0.4,,,0.5,,,0.5,
LINC01565,,,0.0,,0.0,,,,0.5,,,,,,,,,,0.0,,,0.0,
LINC01587,,,0.0,,0.0,,,0.7,0.6,,,,,,,,,,0.1,,,0.2,
LINC01590,,,,,,,,,,,,0.8,,,,,,,,,,,
LINC01599,,,0.0,,0.0,,,,0.8,,,,,,,,,,0.0,,,0.5,
LINC01600,,,0.0,,0.0,,,0.2,0.5,,,,,,,0.1,,,0.1,,,0.3,
LINC01619,,,0.0,,0.0,,,,0.5,,,,,,,0.2,,,0.1,,,,
LINC01620,,,0.0,,0.0,,,,0.6,,0.8,,,,,0.3,,,0.5,,,0.7,
LINGO1,,,,1.0,0.0,,0.8,0.5,0.6,0.6,0.5,,,,0.6,,,0.8,,,,,
LINGO2,,,,0.82,0.14,,0.87,0.7,0.83,,0.92,,,,0.8,0.85,,0.9,0.75,0.95,,,
LINGO3,,,1.0,,1.0,,,,0.8,,0.9,,,,0.8,0.85,,,0.8,,,,
LINGO4,,,0.0,,0.67,0.8,0.5,,0.6,,0.9,,,,0.7,0.75,,,0.5,1.0,,,
LINS1,0.7,,0.0,,0.0,,,,0.6,,,,0.8,,0.9,,,,0.5,,,,0.5
LIPA,,,,,,,,,,,,0.8,,0.6,,,,,,,,,
LIPC,,,0.0,,0.62,,0.9,0.5,0.7,,0.8,,,,0.8,,,,0.6,,1.0,,
LIPE,0.5,,0.0,,0.63,,,,0.8,,,,0.9,,0.7,,,,0.5,,,,
LIPF,,,0.0,,,,0.5,0.6,0.8,0.7,0.9,,,,0.7,,0.8,,0.5,1.0,,,
LIPG,,,,,,,,,,,,0.8,,0.6,,,,,,,,,
LIPH,0.8,,0.0,,0.81,,,0.7,0.8,,0.9,,,,0.75,,,,0.5,,,,
LIPI,0.7,1.0,0.0,,0.5,,,,0.6,,0.8,,,,0.8,,,0.8,0.7,0.96,,,0.5
LIPJ,,,0.0,,0.78,,,,0.7,,0.85,,,,0.75,,,,0.5,,,,
LIPK,,,0.0,,0.62,,,,0.6,,0.9,,,,0.7,,,,0.75,1.0,,,
LIPM,,,0.0,,0.82,,,,0.6,,0.9,,,,0.75,0.78,,,0.7,1.0,,,
LIPN,,,0.0,,0.5,,0.2,,0.6,,0.9,,,,0.8,,,,0.8,1.0,,,
LIPT1,0.7,,0.0,,0.5,,,0.5,0.6,,0.8,,,,0.9,,,,0.6,0.7,,,
LIPT2,0.8,,1.0,,1.0,,,,0.7,,,,0.9,,,0.75,0.8,,0.5,0.9,,,0.6
LITAF,,,,,,,,,,,,0.9,,,,,,,,,,,
LIX1,,,0.0,,0.46,,,,0.8,,0.9,,,,,,,,0.5,,,,
LIX1L,,,0.0,,0.55,,,0.4,0.8,,0.85,,,,0.9,,,,0.5,,,0.0,
LKAAEAR1,,,0.0,,0.0,,,,0.6,,0.8,,,,,0.4,,,0.5,,,,
LLCFC1,,,0.0,,0.0,,,,0.6,,,,0.8,,0.7,,,,0.5,,,,
LLGL1,,,0.0,,0.38,,,,0.7,,0.9,,,,0.7,0.5,,,0.6,,,,
LLGL2,0.6,1.0,0.0,,,,,0.85,0.8,,,,0.9,,,,0.9,,0.7,,0.87,,
LLPH,,,,,,,,,,,,,,,,,,,,,,,
LMAN1,0.8,1.0,0.0,,0.32,,,,0.7,,,,0.9,,0.6,,,,0.5,,,,
LMAN1L,,,0.0,,0.83,,0.7,,0.75,,0.9,,,,0.7,,,,0.8,0.96,,,
LMAN2,,,0.0,,,,0.8,0.6,0.7,,,,0.9,,0.7,,0.8,,0.5,,0.6,,
LMAN2L,,,,,,,,,,,,0.8,,,,,,,,,,,
LMBR1,0.7,,0.0,,0.57,,,,0.6,,0.9,,,,0.8,,0.5,,0.5,0.6,,0.7,
LMBR1L,,,0.0,,0.74,,,,0.7,,0.9,,,,0.9,,,,0.6,,,,
LMBRD1,0.7,,0.0,,0.63,,,0.4,0.8,,,,0.9,,0.7,,0.8,,0.5,,,0.6,
LMBRD2,,,0.9,,0.3,,,,0.7,,0.8,,,,0.9,0.75,,,0.6,,,0.5,
LMCD1,0.7,,0.0,,,,0.8,0.5,,,,,0.9,,,,,,,,0.9,,
LMF1,,1.0,0.0,,0.88,,0.4,,0.8,,0.7,,,,0.9,,,0.9,,,,0.5,
LMF2,,,0.0,,0.7,,,,0.7,,0.8,,,,0.75,,,,0.6,,,,
LMLN,,,0.0,,0.64,,,,0.7,,0.9,,,,0.9,,,,0.5,,,,0.5
LMNA,0.95,,,1.0,0.07,,,0.6,0.85,,,,0.9,,,,,,0.8,0.77,,,
LMNB1,,1.0,,0.57,0.21,,0.5,,0.85,,0.9,,,,0.7,,0.9,,,1.0,,,
LMNB2,0.8,1.0,,1.0,0.0,,,,0.6,,,,0.7,,0.7,,0.9,,,,0.85,,
LMNTD1,,,0.0,,0.0,,,,0.6,,0.8,,,,,,,,0.5,,,,
LMNTD2,,,0.0,,0.0,,,,,,,,0.7,,,0.5,,,0.5,,0.9,,
LMO1,,,,0.64,0.13,,0.8,0.75,0.67,,0.9,,,,,,,,0.78,0.94,,,0.6
LMO2,,1.0,0.17,,0.32,,0.6,0.75,0.7,,0.8,,,,0.5,,,,,0.66,,,
LMO3,,,,0.71,0.12,,,,0.8,,0.9,,,,,,,,0.5,,0.87,,0.6
LMO4,,1.0,,0.69,0.12,,0.6,,0.7,,0.8,,,,,,,,,,0.69,,
LMO7,,1.0,0.0,,0.29,,0.6,,0.9,,0.8,,,,0.7,0.65,,0.7,,0.85,,,
LMO7DN,,,0.0,,0.0,,,,0.5,,0.6,,,,,0.4,,,0.5,,,,
LMOD1,0.8,,,0.87,0.13,,0.9,,0.7,,0.8,,,,0.6,,,,0.75,0.93,,,
LMOD2,,,0.0,,0.42,,,,0.8,,0.9,,,,0.6,0.7,,,0.5,,,,
LMOD3,0.9,,0.0,,0.7,,,,0.8,,,,0.9,,,,,0.7,0.8,,1.0,,
LMTK2,,1.0,,1.0,0.13,,0.8,,0.7,,0.9,,,,0.8,,,0.9,,,,0.6,
LMTK3,,,,,,,,,,,,1.0,,0.6,,,,,,,,,
LMX1A,,0.9,,0.95,0.8,,0.6,,0.65,,0.7,,,,0.7,,,0.75,,0.9,,,
LMX1B,,,,0.78,0.18,,0.9,0.75,0.85,,0.95,,,,,,,,,0.92,,,0.7
LNP1,,,0.0,,0.5,,,0.6,0.5,,0.7,,,,,,,,0.4,0.9,,,
LNPEP,,,,,,,,,,,,0.8,,0.6,,,,,,,,,
LNPK,0.8,,0.0,,,,,,,,,,0.9,,0.9,,0.8,,,,,,
LNX1,,,0.0,,,,0.8,0.6,,,,,0.9,,,,0.9,,,,0.76,,0.5
LNX2,,,0.0,,,,0.8,,,,,,0.9,,0.75,,,,,,0.6,,
LONP1,0.9,,,1.0,0.88,,,,0.75,,,,0.85,,0.8,,,,0.7,,,,0.7
LONP2,,,0.0,,0.5,,,,0.7,,0.8,,,,0.8,0.7,,,0.6,,,,0.5
LONRF1,,,,0.64,0.21,,,0.4,0.9,,0.78,,,,0.7,,,,0.77,0.75,,,
LONRF2,,,0.0,,0.36,,0.7,,0.8,,0.9,,,,0.7,,,,0.6,0.87,,,
LONRF3,,,,,,,,,,,,1.0,,,,,,,,,,,
LOX,,,,,,,,,,,,0.8,,0.6,,,,,,,,,
LOXHD1,0.8,,0.0,,,,,,,,,,0.9,,0.8,,0.9,,,,1.0,,
LOXL1,0.8,,,0.88,0.15,,,,0.75,,,,0.9,,0.7,,,,0.57,0.89,,,
LOXL2,,,0.0,,0.41,,0.5,0.6,0.85,0.7,0.9,,,,,,,,0.6,0.96,,,
LOXL3,,,0.0,,0.62,,,0.7,0.8,,0.9,,,,,,0.9,,0.75,,,,
LOXL4,,,,,,,,,,,,0.8,,0.5,,,,,,,,,
LPA,0.8,,0.0,,,,0.9,,,,,,0.7,,0.8,,,,,,1.0,,
LPAL2,,,1.0,,1.0,,,,0.8,,,,,,,,,,0.5,,,0.2,
LPAR1,,1.0,0.2,,0.27,,0.85,0.75,0.8,0.9,0.95,,,,,,,,,,,,
LPAR2,,,,,,,,,,,,0.85,,0.75,,,,,,,,,
LPAR3,,,,,,,,,,,,,,,,,,,,,,,
LPAR4,,1.0,0.0,,0.88,,,0.75,0.85,0.8,0.9,,,,,0.75,,0.9,0.5,0.91,,,
LPAR5,,,,,,,,,,,,,,,,,,,,,,,
LPAR6,0.5,,0.0,,0.64,0.55,,0.6,0.7,,0.8,,,,0.8,,,0.9,0.5,0.84,,,
LPCAT1,,,,,,,,,,,,0.5,,0.5,,,,,,,,,
LPCAT2,,,0.0,,0.66,,,0.88,0.87,,0.92,,,,0.75,0.78,0.85,,0.54,0.86,,,
LPCAT3,,,,0.95,0.85,,0.8,,0.65,,0.7,,,,,0.78,0.9,,0.5,0.6,,,
LPCAT4,,,0.4,,0.22,0.2653,,0.4,0.12,,0.26,,,,0.5,0.6,,,0.524,,,,
LPGAT1,,,,0.98,0.09,,0.4,0.3,0.12,,0.56,,,,0.6,0.65,,,0.37,,,0.52,
LPIN1,,,0.0,,0.55,,,,,,,,,,,,,,,,,,
LPIN2,,,0.0,,,,,,,,,,0.9,,0.75,0.75,0.9,,,,,,
LPIN3,,,0.0,,0.65,,,0.8,0.85,,0.88,,,,0.7,0.75,,,0.85,0.73,,,
LPL,,1.0,0.0,,0.76,,0.77,,0.84,0.67,0.95,,,,0.8,,,,0.75,0.95,,,
LPO,,,0.0,,,,0.8,,,,,,0.9,,0.75,,0.85,,,,,,0.6
LPP,0.85,0.8,0.9,,,,,,,,,,0.9,,0.7,,0.8,,,,0.93,,0.6
LPXN,,,0.0,,,,0.5,0.7,0.8,,,,0.9,,0.6,0.7,0.8,,,0.99,,,
LRAT,0.8,,0.03,,0.54,0.56,,0.2,0.75,,0.9,,,,,,,,0.46,,0.88,,
LRBA,,,0.0,,0.32,,0.6,,0.8,,0.9,,,,0.85,,,,0.8,0.7,,,
LRCH1,,,,1.0,0.93,,0.9,0.7,0.75,,0.8,,,,0.9,,,,0.7,0.8,,,
LRCH2,,,,1.0,0.8,,,,0.7,,0.82,,,,0.75,,0.85,,0.76,,,,
LRCH3,,,0.0,,0.57,,,0.75,0.8,,0.9,,,,0.9,,,,0.7,,,,
LRCH4,,,0.0,,0.46,,,,0.8,,0.9,,,,0.8,,,,0.7,0.79,,,
LRCOL1,,,0.0,,0.0,,,,0.6,,,,,,0.8,0.7,,,0.5,,,,
LRFN1,,,,,,,,,,,,0.8,,,,,,,,,,,
LRFN2,,,0.1,,,,0.9,0.6,0.7,,,,0.8,,0.7,,0.8,,0.5,,0.9,,
LRFN3,,,,0.9,0.0,,,0.5,0.8,,,,0.9,,0.8,,,,0.7,,,,
LRFN4,,,,,,,,,,,,0.9,,,,,,,,,,,
LRFN5,,,,,,,,,,,,0.9,,,,,,,,,,,
LRG1,,,,,,,,,,,,,,,,,,,,,,,
